No.,Time,Source,Destination,Protocol,Length,MSS,WIN,TTL,URG,ACK,PSH,RST,SYN,FIN,SQ,SQR,Who,At,Info,Src Port,Dest Port
147,19.864298,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x7717 PTR 2.3.0.10.in-addr.arpa,42121,53
148,19.864364,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x6851 PTR 3.3.0.10.in-addr.arpa,54289,53
149,19.864635,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xde5c No such name PTR 4.3.0.10.in-addr.arpa OPT,53,36469
150,19.864759,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xde5c PTR 4.3.0.10.in-addr.arpa,36469,53
151,19.864819,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x4923 No such name PTR 5.3.0.10.in-addr.arpa OPT,53,34737
152,19.864909,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x4923 PTR 5.3.0.10.in-addr.arpa,34737,53
153,19.865152,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x46da No such name PTR 6.3.0.10.in-addr.arpa OPT,53,34877
154,19.86523,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xd3b6 No such name PTR 7.3.0.10.in-addr.arpa OPT,53,50057
155,19.865266,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0x46da PTR 6.3.0.10.in-addr.arpa,34877,53
156,19.86535,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xd3b6 PTR 7.3.0.10.in-addr.arpa,50057,53
157,19.86587,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xcfbe No such name PTR 8.3.0.10.in-addr.arpa OPT,53,43986
158,19.865871,10.0.2.1,10.0.2.4,DNS,92,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0xbe65 No such name PTR 9.3.0.10.in-addr.arpa OPT,53,53239
159,19.866006,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xcfbe PTR 8.3.0.10.in-addr.arpa,43986,53
160,19.866086,10.0.2.4,10.0.2.1,DNS,81,0,0,64,0,0,0,0,0,0,1,0,0,0,Standard query 0xbe65 PTR 9.3.0.10.in-addr.arpa,53239,53
161,19.867963,10.0.2.1,10.0.2.4,DNS,81,0,0,255,0,0,0,0,0,0,0,1,0,0,Standard query response 0x71dc No such name PTR 0.3.0.10.in-addr.arpa,53,34443
